Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
writitem_toc_earrows_name,items,Quest - Note,,,"+Writ Of Everdeen's Arrows",,,,,,,,,,,,,,
writitem_toc_earrows_desc,items,Quest - Note,,,"Evidence of your successful completion of Everdeen's arrows quest.",,,,,,,,,,,,,,
item_toc_earrows_name,items,Item,,,"Arrows of Everdeen",,,,,,,,,,,,,,
item_toc_earrows_desc,items,Item,,,"Exquisitely crafted arrows guaranteed to fly true.",,,,,,,,,,,,,,
questitem_toc_ebolts_name,items,Quest - Note,,,"+Everdeen's Bolts Quest",,,,,,,,,,,,,,
questitem_toc_ebolts_desc,items,Quest - Note,,,"A quest to help feed the White River community by gathering 7 corn + 3 mushrooms + 3 baked potatoes. Receive a bundle of Everdeen's bolts in repayment for your efforts.",,,,,,,,,,,,,,
writitem_toc_ebolts_name,items,Quest - Note,,,"+Writ Of Everdeen's Bolts",,,,,,,,,,,,,,
writitem_toc_ebolts_desc,items,Quest - Note,,,"Evidence of your successful completion of Everdeen's bolts quest.",,,,,,,,,,,,,,
item_toc_ebolts_name,items,Item,,,"Bolts of Everdeen",,,,,,,,,,,,,,
item_toc_ebolts_desc,items,Item,,,"Exquisitely crafted bolts guaranteed to fly true.",,,,,,,,,,,,,,
questitem_coin_everdeen,items,Item,,,"Tools of Citizenship - Everdeen's Arrows",,,,,,,,,,,,,,
questitem_coin_everdeenDesc,items,Item,,,"A symbolic coin to indicate that you have turned in your White River Tools of Citizenship, citizen card to start the Everdeen's arrows quest.",,,,,,,,,,,,,,
